body,topic,trend
I think the only named and numbered football shirt I've ever had is a hand-me-down @JanAageFjortoft Boro away top f… https://t.co/9nVQYiA0Qu,4,#FootballShirtFriday
"Rarely turn down a chance to wear a football shirt anywhere, so the toughest part of #FootballShirtFriday was picki… https://t.co/dTwfDcQPSL",4,#FootballShirtFriday
As its #FootballShirtFriday sorry @colingreen81 😂 here’s a few of my @Wolves shirts 🔶◾️ #OldGold 🐺 https://t.co/xxNF0zfHHU,4,#FootballShirtFriday
The @IJFFootball AP_McCoy's XI shirt representing the @IJF_official #FootballShirtFriday https://t.co/OyPTO6YID9,4,#FootballShirtFriday
Plenty of tekkers on show today @Zuto for #FootballShirtFriday good chunk of change heading over to @CR_UK @BobbyMooreFund,4,#FootballShirtFriday
Staff from our Intensive Care Unit looked great as they took part in #FootballShirtFriday  @BobbyMooreFund @CR_UK -… https://t.co/tiCyK1Fqit,4,#FootballShirtFriday
"Last day at @UniWestScotland also #FootballShirtFriday so @RangersFC top was on. Thanks to everyone at UWS, Staff a… https://t.co/Nn4GlIxdXI",4,#FootballShirtFriday
It's #FootballShirtFriday and time to support @chagosisland football team. Get the shirt &amp; help young Chagossians c… https://t.co/TSGJtYUog7,4,#FootballShirtFriday
#FootballShirtFriday and Kyle our website designer is representing #TeamSheep. You can donate by texting BOBBY to 7… https://t.co/szHYnOA18D,4,#FootballShirtFriday
"Some of the work lads featuring the Wealdstone Raider raising money for the Bobby Moore Fund.

TXT FRIDAY TO 70200… https://t.co/O9wMZC3sFW",4,#FootballShirtFriday
It's #FootballShirtFriday today. Still the best Ireland top goin. https://t.co/etWACw0Wc8,4,#FootballShirtFriday
Our 23redders enjoying that #FridayFeeling while proudly supporting #FootballShirtFriday in aid of of the… https://t.co/4rJdfIywou,4,#FootballShirtFriday
Happy #FootballShirtFriday @classicshirts 🍺 Real 2001  🖖 https://t.co/0rdPb8IH99,4,#FootballShirtFriday
We did #FootballShirtFriday in the office today for Cancer Research! We wore our colours with pride and donated to… https://t.co/5bpFc9ueYp,4,#FootballShirtFriday
Has to be this one. Reminds me of the T-shirt I once had when I was a kid. The one with all the Marvel characters o… https://t.co/YrvpdUfC3R,4,#FootballShirtFriday
Some classic shirts at @ClickMechanic offices today for #footballshirtfriday @BobbyMooreFund ! Top job team!! https://t.co/cNeXZ2tAXi,4,#FootballShirtFriday
@WilliamHill @Roger_B32 What team is this? #FootballShirtFriday https://t.co/j6qlYmiQ2j,4,#FootballShirtFriday
@ManUtd shirt signed by @paulpogba or @ManCity shirt signed by 2018 #PremierLeague winning team ...the office is di… https://t.co/7mzylsz9ei,4,#FootballShirtFriday
Hang on. #FootballShirtFriday was for Bobby Moore fund? Bobby Moore the jewelry thief? Wow.,4,#FootballShirtFriday
@classicshirts #FootballShirtFriday 2007-08 @ClubAmerica GK special edition https://t.co/IeMGcd1aAX,4,#FootballShirtFriday
@Oddschecker @paddypower This has got to be the worst! #FootballShirtFriday https://t.co/PAWFXtacyR,4,#FootballShirtFriday
"Wearing my @WatfordFC shirt for ##FootballShirtFriday

Text ‘BOBBY’ to 70200 to give £5 to @BobbyMooreFund.… https://t.co/uUfwcaGHY6",4,#FootballShirtFriday
A good bunch supporting @BobbyMooreFund on #FootballShirtFriday https://t.co/OxOUkcvFIS,4,#FootballShirtFriday
Enthusiastic supporters of #FootballShirtFriday here at @EValueuk in support of @BobbyMooreFund and @CR_UK.  Join u… https://t.co/SuvI0oQyRx,4,#FootballShirtFriday
"Putting @kidtownafc on the map. Where it belongs next to Lazio, Brazil and @TonPentreFC 👊 #FootballShirtFriday https://t.co/6oncq3VuBK",4,#FootballShirtFriday
Completely geeked out today at @classicshirts and bought these beauts. About to raid their website for more additio… https://t.co/EekWhjMGM8,4,#FootballShirtFriday
Through the ups and downs always going to be a Potter girl @stokecity #FootballShirtFriday ⚽️👏🏽 https://t.co/jjOjSOh1V3,4,#FootballShirtFriday
"#FootballShirtFriday by the time I realised, I was already in work, but, without doubt, it would've been this (size… https://t.co/RvVqFKuofB",4,#FootballShirtFriday
This technically counts as me at work since I work from home #FootballShirtFriday https://t.co/lEP8gywRkA,4,#FootballShirtFriday
As it's #footballshirtfriday here's the oldest @rhylfc shirt I have. 1992-93 @ASICSUK and the memories of the Welsh… https://t.co/uDzVobtRq5,4,#FootballShirtFriday
Taking part in #FootballShirtFriday with @Northender33 @katnutts and Jane supporting @CR_UK &amp; @BobbyMooreFund to ta… https://t.co/vzVy4vHbVB,4,#FootballShirtFriday
#FootballShirtFriday at work ⚽️ https://t.co/X56hzLtehC,4,#FootballShirtFriday
On #MothersDay2018 this can be a special gifts to/for all #Pitbull #pitbulls lovers . Get yours here:… https://t.co/KlExl45NoN,4,#FootballShirtFriday
Good turnout for #footballshirtfriday by the @SupaLiteRoofs staff https://t.co/YLCn3WLG9A,4,#FootballShirtFriday
Celebrate #footballshirtfriday with AM Bobby Moore. £6 per figure sold is donated to @BobbyMooreFund 👍 #actionman… https://t.co/gyHKzPwfMH,4,#FootballShirtFriday
Brilliant exhibition guys :-) @classicshirts #FabricOfFootball #FootballShirtFriday https://t.co/XNiQUsVAup,4,#FootballShirtFriday
Arnott fitting in this classic #ToTight #FootballShirtFriday https://t.co/25HQuBgmP2,4,#FootballShirtFriday
"Help tackle bowel cancer on by getting involved in #FootballShirtFriday. Wear your shirt loud, wear it proud, and h… https://t.co/9ttg2QM0Ro",4,#FootballShirtFriday
Love #FootballShirtFriday https://t.co/OThx7deqp4,4,#FootballShirtFriday
@BobbyMooreFund Staff from @MannersPimblett Solicitors in Cheshire wearing football tops on #FootballShirtFriday an… https://t.co/Y6wOmcT0Mk,4,#FootballShirtFriday
"#FootballShirtFriday Staff from @MannersPimblett Solicitors in Poynton, Cheshire wearing football tops on… https://t.co/pLiK3z5Rws",4,#FootballShirtFriday
Can anybody remember this 80s @OfficialECFC eye catcher worn here by @LondonGrecians  for #FootballShirtFriday. Bes… https://t.co/yHTbZGpDm7,4,#FootballShirtFriday
"Lets make yourself #cartoon #portrait #vector art #illustration #caricature
contact me https://t.co/2idEZscgjz… https://t.co/f4dogAF6v1",4,#FootballShirtFriday
"Hey ! you looking for ? re #design ur #logo? just order me 
100% satisfaction guarantee https://t.co/MWMEhchmki… https://t.co/jVrqCpBQQ8",4,#FootballShirtFriday
"check out https://t.co/dTePP70pMk

#FootballShirtFriday #falcon",4,#FootballShirtFriday
"#FootballShirtFriday 

so thats why the #Neanderthals had their #SundayBest 

on today!!!

Not quite #KatwomanStyle https://t.co/HGq3xjkZUB",4,#FootballShirtFriday
Fantastic to see such great support for #footballshirtfriday raising money and awareness for @BobbyMooreFund and to… https://t.co/LDDBR7XWlA,4,#FootballShirtFriday
A few of us at @DemonMusicGroup supporting @BobbyMooreFund #FootballShirtFriday for @CR_UK with classic @BarnetFC… https://t.co/NTBjxT5lvh,4,#FootballShirtFriday
Tweet your selfie wearing the #LFC shirt! #FootballShirtFriday https://t.co/wWHwumbQgV,4,#FootballShirtFriday
One of my favourite #FashionFriday pics ever! #FootballShirtFriday https://t.co/gg2Ygafe6a,4,#FootballShirtFriday
Traded a @MayoGAA kit for a @sydneyswans kit. #FootballShirtFriday https://t.co/oe2JagtfUw,4,#FootballShirtFriday
"So uh...

What do I do with this.

#FootballShirtFriday https://t.co/usrlSRHWCx",4,#FootballShirtFriday
Decent turnout for #footballshirtfriday #highgatestudios #kentishtown #camden #highgate #COYS  @bobbymoorefund… https://t.co/fWYVxwRiIc,4,#FootballShirtFriday
"BREAKING: @JohnCena vs. @TripleH to KICK OFF .   Shout it here https://t.co/Ve46rtfVzS
#WWEGRR #ABBA Samcro and Mel… https://t.co/Cj1Mq2qS84",4,#FootballShirtFriday
"Retweeted Panini Cheapskates (@CheapPanini):

@90sfootball Favourite day of the year...
#FootballShirtFriday… https://t.co/6wsJkYM1if",4,#FootballShirtFriday
Staff from @MannersPimblett Solicitors in Cheshire wearing football tops on #FootballShirtFriday and raising money… https://t.co/ggxpVDNG5F,4,#FootballShirtFriday
Trofeo Abarth Selenia Returns This Weekend: Read more @ https://t.co/MtSxOYUUri || #motorsports : #sports : #abarth… https://t.co/GBUhhFcDan,4,#FootballShirtFriday
If you can please text “SHIRT” to 70200 to donate £5 to the @BobbyMooreFund and help tackle bowel cancer!… https://t.co/Ds1KWna7J1,4,#FootballShirtFriday
Kid loves #FootballShirtFriday @HerefordFC @BullsNewsBlog ⚽️ https://t.co/Kybi37qWuM,4,#FootballShirtFriday
#FootballShirtFriday if one more person asks me if it’s Newcastle they’re gonna get that!!👊 @BobbyMooreFund https://t.co/mtH59qSUFM,4,#FootballShirtFriday
Wish I could see my fav girl wear a @ManUtd shirt for #FootballShirtFriday 😍😍,4,#FootballShirtFriday
"#My new logo Design.
#Loking for a #logo, #branding, #T-Shirt, #Corporate, #Design?
#See our work:… https://t.co/vefFdqaCda",4,#FootballShirtFriday
If you can please text “SHIRT” to 70200 to donate £5 to the @BobbyMooreFund and help tackle bowel cancer!… https://t.co/z4FJbl7vyu,4,#FootballShirtFriday
Great effort from @tbap16_19 for #FootballShirtFriday thanks everyone for taking part https://t.co/7FDKVnLjeu,4,#FootballShirtFriday
Fuck off with your #FootballShirtFriday it's #WorldOldbobDay,4,#FootballShirtFriday
They say being a headteacher is a lonely job. Not as lonely as being a @officialbantams fan @elycollege on… https://t.co/4D7B148ZHE,4,#FootballShirtFriday
Spot the difference!! 😆 #FootballShirtFriday @classicshirts https://t.co/gW2QxXOmAX,4,#FootballShirtFriday
#FootballShirtFriday Last Millwall shirt I wore is a 3xl... go for a medium these days 😉,4,#FootballShirtFriday
#FootballShirtFriday @BobbyMooreFund George even wanted his teddy to get a shirt on 😂⚽🇬🇧 https://t.co/hnimHcYRzl,4,#FootballShirtFriday
I've loved being part of #FootballShirtFriday along with my friends at Brake! https://t.co/rGqNW3Gcvh,4,#FootballShirtFriday
Supporting #CancerResearch by taking part in the @BobbyMooreFund #FootballShirtFriday campaign! ⚽️👊 https://t.co/aIuycf0Hut,4,#FootballShirtFriday
Telford team raised a little bit more by wearing their Football or Rugby T Shirts to support the Bobby Moore Fund t… https://t.co/U8PNnqc66U,4,#FootballShirtFriday
When your Mum sends you what's app messages saying happy #footballshirtfriday #GTFC #SoProudToBeGTFC 😩😛🤣 https://t.co/SrI8acHXoE,4,#FootballShirtFriday
It’s still Friday so I’ll get this on for #FootballshirtFriday https://t.co/3yrf5xwPzZ,4,#FootballShirtFriday
"Yes  #FootballShirtFriday is trending. It’s not too late to get involved, get your shirts on tonight people. See my… https://t.co/TXpA2DGuPx",4,#FootballShirtFriday
"Time to don my @BarnetFC shirt, as it's #FootballShirtFriday. Donation to follow. https://t.co/n7tTmDMTMS",4,#FootballShirtFriday
"#FootballShirtFriday 
donate to @BobbyMooreFund 
@classicshirts @SolManOfficial https://t.co/n79uFA6gkW",4,#FootballShirtFriday
"#FootballShirtFriday
Think the '88 Celtic original still fits... 🤔😃 https://t.co/DFvSBTRICU",4,#FootballShirtFriday
"Share with us the best answers and we will share it in our #twitter channel

.
.
.
.
.
.
.
.
#Fridayfeeling #friday… https://t.co/rk3QsORpxb",4,#FootballShirtFriday
Looking for an Apple Mac but don't want to pay full price? Try Immaculate Laptops on eBay! https://t.co/FVeRGskId7… https://t.co/6VSinRHjoO,4,#FootballShirtFriday
Final task at work on #FootballShirtFriday is cleaning sample plates for next week. Surely this photo of me trying… https://t.co/oayws1T4to,4,#FootballShirtFriday
Apparently it's #FootballShirtFriday today... https://t.co/xpxYs2tVNV,4,#FootballShirtFriday
"A tired head on me, but this year's #FootballShirtFriday was done in the colours of @shelsfc https://t.co/IIwPSJZAzW",4,#FootballShirtFriday
We’re all rocking our football shirts in the LOVELIVE office today in support of bowel cancer research.… https://t.co/GwM4BwopzO,4,#FootballShirtFriday
"Rocked this bad boy today at work,alongside a nice little donation to a worthy cause ❤️ #FootballShirtFriday #LFC https://t.co/GsJNfxV6H0",4,#FootballShirtFriday
A lone @OUFCOfficial supporter in the mix....#FootballShirtFriday #OUFC https://t.co/HH2Yc3YxPl,4,#FootballShirtFriday
#FootballShirtFriday ❤️ and a Steve W keepy uppy showcase ⚽️ https://t.co/yP4QOVcyWs,4,#FootballShirtFriday
"Too many decisions on #FootballShirtFriday 
Of the 160+ to chose from I’ve played it safe with Ghana 🇬🇭 
#FootballShirtAdict",4,#FootballShirtFriday
Repping my #saintsfc shirt today for #FootballShirtFriday #alwayssfc Through the tough times and the good! https://t.co/qcahRpP5kv,4,#FootballShirtFriday
"It’s #FootballShirtFriday and I’m not in work today. They don’t go along with it anyway. 

Every days a day for foo… https://t.co/gcZJKkhiCg",4,#FootballShirtFriday
It's #FootballShirtFriday! Football is a universal sports that helps to connect communities 🌏Flashback to our favou… https://t.co/2iFQDjb5bw,4,#FootballShirtFriday
@classicshirts @AnthonyFord87 Support and donate the @BobbyMooreFund  #FootballShirtFriday https://t.co/eN2d0ys77e,4,#FootballShirtFriday
Today @EntourageBD we’ve been raising money for @BobbyMooreFund @CR_UK and have managed to raise over £100! If you’… https://t.co/AVrtQFeqoZ,4,#FootballShirtFriday
"England 90 away for @thomas_wood_ on #FootballShirtFriday , what does everyone think? Best shirt of each day of the… https://t.co/79BpZ0xv2h",4,#FootballShirtFriday
Today’s #FootballShirtFriday event raised £150.50 for the #bobbymoorefund our Parents vs Teachers match and raffle… https://t.co/MzXdTffqQU,4,#FootballShirtFriday
"No need for #FootballShirtFriday for me, I’m lucky enough to wear a football shirt to work everyday! There’s nothin… https://t.co/a3f7Jz4aJM",4,#FootballShirtFriday
#FOOTBALLSHIRTFRIDAY A few of our guys wearing their football shirts in aid of Bowel Cancer Research today! @cr_uk… https://t.co/YEPG1s2ZY8,4,#FootballShirtFriday
"Strong representation from the Manchester office, although only 2 people representing Manchester teams... 🤔… https://t.co/UyJBTWl3TG",4,#FootballShirtFriday
Great day today for #FootballShirtFriday raising money for #CancerResearch @AustinFraserAF https://t.co/s7Yz8LFhyO,4,#FootballShirtFriday
"It’s #FootballShirtFriday and the team have certainly got that #FridayFeeling. 

Lots of happy faces for a truly gr… https://t.co/83GjNseHmv",4,#FootballShirtFriday
Combining #footballshirtfriday with a trip to Daddy’s work and a new… https://t.co/UYai2mgRIc,4,#FootballShirtFriday
It's #FootballShirtFriday again and another chance for @IanNockolds and our team to do there bit for this great cau… https://t.co/DDXcEp0Iu0,4,#FootballShirtFriday
Stop the internet. We’ve just found the #FootballShirtFriday Winner. Our very own @simpsaan at @FNTeamwear sporting… https://t.co/eTx05etIp6,4,#FootballShirtFriday
"Limited edition... 😆
We've been having fun @FourFourTwo Towers for #FootballShirtFriday, all for a good cause.

To… https://t.co/dXGzVwmTqX",4,#FootballShirtFriday
Proud to rock @Official_ITFC away shirt for #FootballShirtFriday Take part in our FB prize draw and stand a chance… https://t.co/p0VyePtMjS,4,#FootballShirtFriday
"Our team photo concludes it though #FootballShirtFriday also welcoming Emma Allen, our new marcomms Coordinator! https://t.co/o2rbojKVvJ",4,#FootballShirtFriday
#FootballShirtFriday Me in my 1970's style bespoke @toffsretro Melchester Rovers #9 Roy Race shirt! @classicshirts… https://t.co/IzSSx0jNqX,4,#FootballShirtFriday
Not sure this lot will be making it to Russia this year! ⚽️ #FootballShirtFriday https://t.co/tWPVsLpMnY,4,#FootballShirtFriday
Our #FootballShirtFriday fundraising event for the @BobbyMooreFund was great! Check out all of the different team s… https://t.co/Gxfir9vRdY,4,#FootballShirtFriday
"#FootballShirtFriday 

A famous shirt, a great charity, a huge victory.

#FuckCancer 

https://t.co/YAqqck5cp5",4,#FootballShirtFriday
"Get you a man who can do both! #PowerOfLove #FootballShirtFriday #Texas #highschoolfootball #comedy 
Texas. High Sc… https://t.co/MyPEucWeEC",4,#FootballShirtFriday
Supporting #footballshirtfriday today and raising money for the fantastic charity #cancerresearch #bobbymoorefund https://t.co/gFt5fbY9OW,4,#FootballShirtFriday
#ITF England squad members showing their support for @BobbyMooreFund while competing at European #Taekwondo chanmpi… https://t.co/YjE9K8Hbi8,4,#FootballShirtFriday
It's #FootballShirtFriday and the @DailyMirror team are getting involved. Here's everything you need to know to joi… https://t.co/eNOpNYKXGU,4,#FootballShirtFriday
"I Will Do Photo Background Remove, Editing, Retouching
#ABBA
#FridayFeeling
#WWEGRR
Prince Louis
#RoyalBabyName… https://t.co/P3npQdGN8Z",4,#FootballShirtFriday
Its #footballshirtfriday supporting the @bmf. Show your support and donating. #lovingthisarsenalkit https://t.co/fdRvtosrVK,4,#FootballShirtFriday
@CR_UK @Arsenal  Arsenal FC Contact Centre staff have raised £120 for #FootballShirtFriday https://t.co/FHdo4s5eiu,4,#FootballShirtFriday
"I Will Background Remove Professionally Any Images Quickly
#ABBA
#FridayFeeling
#WWEGRR
Prince Louis
#RoyalBabyName… https://t.co/juuKwvGesg",4,#FootballShirtFriday
We've been raising money by wearing sports tops and eating today! So far we've raised £320 for @CR_UK  If you want… https://t.co/mZLUxNkoqC,4,#FootballShirtFriday
Morgan sporting @sscnapoli away 91 for #FootballShirtFriday. Best shirt of each day of the #FabricOfFootball exhibi… https://t.co/JW6dZtZqeJ,4,#FootballShirtFriday
@TSWesternLeague Hopefully we can get as many of our member Clubs as possible to support this fantastic cause #FootballShirtFriday,4,#FootballShirtFriday
Represented @SUFCRootsHall today for #FootballShirtFriday in the classic Firholm number. Shirt porn basically. Anyw… https://t.co/7loMnx2zC2,4,#FootballShirtFriday
@Oddschecker @paddypower It has to be this #FootballShirtFriday https://t.co/csiQ5CHU4K,4,#FootballShirtFriday
"@BobbyMooreFund #FootballShirtFriday Wanted to wear my Deportivo Wanka shirt today, but don't know if my patients w… https://t.co/DFajxZZPM9",4,#FootballShirtFriday
@ActiveLancs @BobbyMooreFund @Everton @TogoFtf @CelticFC @NYCFC @stokecity @DFB_Team_EN We love this @ActiveLancs #FootballShirtFriday,4,#FootballShirtFriday
Curtis Law Staff members supporting Cancer Research by wearing their football shirts on Football Shirt Friday… https://t.co/eGSV7eqyM5,4,#FootballShirtFriday
We are supporting #FootballShirtFriday today. Here is our Child Health Information Service Basildon team wearing th… https://t.co/10fBISSKfS,4,#FootballShirtFriday
"Mi-space proudly supporting #FootballShirtFriday @BobbyMooreFund today 
Text BOBBY to 70200 to donate £5 and help u… https://t.co/32NxFfkO3O",4,#FootballShirtFriday
@Oddschecker @paddypower Surely can't get worse than this #footballshirtfriday https://t.co/NAGsWyTmce,4,#FootballShirtFriday
It's #FootballShirtFriday here at Physique ⚽️ https://t.co/UEhnhYw2Vo,4,#FootballShirtFriday
Happy #FootballShirtFriday! From a Colombian Burkina Faso 🇧🇫 NT Jersey wearer https://t.co/gu9vcV7Q8J,4,#FootballShirtFriday
Wear your Football Shirt to work day for Cancer Research &amp; Bobby Moore Fund. (Obviously trousers have to match the… https://t.co/m2HQQKxzJw,4,#FootballShirtFriday
Our offices took #FootballShirtFriday very seriously today and plenty of our staff donned football shirts for the B… https://t.co/WEPkosdYed,4,#FootballShirtFriday
Supporting @BobbyMooreFund  #footballshirtfriday  @area22CRUK  my son sponsored me a £5 to wear his shirt to work t… https://t.co/Segqt2ouLn,4,#FootballShirtFriday
"Left back is Sam! Sam's favourite player is Andy Carroll as she has a ""Weird crush on him because of his ponytail.""… https://t.co/GvxDjeBtUB",4,#FootballShirtFriday
"An international effort from Team @inspiratia for today’s #FootballShirtFriday, featuring #Rovers, PSG, AEK Athens… https://t.co/TyF4bRm1uM",4,#FootballShirtFriday
Great day in the office today raising money. It's wonderful to see the support from everyone for… https://t.co/zydyq6MoVp,4,#FootballShirtFriday
Team Active Lancashire supporting @BobbyMooreFund #FootballShirtFriday. To donate £5 text BOBBY to 70200. https://t.co/PIL22rrnUI,4,#FootballShirtFriday
"It's #FootballShirtFriday! Here's my effort representing The Oranje...

Don't forget, you can donate here to help u… https://t.co/sim5WX57DF",4,#FootballShirtFriday
"It’s #FootballShirtFriday, so here’s me repping Gillingham’s third kit. Another long away trip tomorrow to Bristol… https://t.co/aW7mo7cmCl",4,#FootballShirtFriday
To the @officialpompey representation at work today for #FootballShirtFriday for the @BobbyMooreFund https://t.co/8gbZcopcRc,4,#FootballShirtFriday
That feeling when you manage to raise £462.26 for @BobbyMooreFund on #FootballShirtFriday - massive thank you to ev… https://t.co/8IGe88H5a1,4,#FootballShirtFriday
"""The problem is, no one talks about toilet problems.""

Bowel cancer is a subject close to Storm's heart, which is w… https://t.co/hFt8lXdRMA",4,#FootballShirtFriday
Team Straco took part in #FootballShirtFriday for @BobbyMooreFund today ⚽️ We've had a great day raising money and… https://t.co/mEK43ZsYz5,4,#FootballShirtFriday
"👕 | The PFA's Paul Raven showing that he is supporting #FootballShirtFriday, in his classic @WBA shirt! https://t.co/o5L1Uev9Fi",4,#FootballShirtFriday
#FootballShirtFriday @BobbyMooreFund #NFFC All for a good cause. https://t.co/hKpwUyRvKQ,4,#FootballShirtFriday
"@vohkus @BobbyMooreFund Great line up of shirts, well done gang #FootballShirtFriday",4,#FootballShirtFriday
You can always rely on these two! #FootballShirtFriday supporting @BobbyMooreFund &amp; @CR_UK #FridayFeeIing https://t.co/Vnb2rs4axK,4,#FootballShirtFriday
@G2LegalMan @izziegilbertg2 @G2LegalMidlands @ManUtd @ManCity Looking good everyone!! Such a great cause to raise m… https://t.co/nyRkgH94xf,4,#FootballShirtFriday
Decent wee find for #FootballShirtFriday...,4,#FootballShirtFriday
"📷 Students from QAC today participated in #FootballShirtFriday for the @BobbyMooreFund 

It’s been a busy couple of… https://t.co/emMhQJFQnB",4,#FootballShirtFriday
🤷🏼‍♂️| We could show you all the @ChelseaFC @HibsOfficial &amp; @LiviFCOfficial efforts that we have here in the office… https://t.co/VRrnfCBO5i,4,#FootballShirtFriday
"Charity | Nationwide Football Shirt Friday
You can find out more about the ground breaking research we're supportin… https://t.co/O12oFkHhNB",4,#FootballShirtFriday
Here @Kineo we're getting stuck in &amp; tackling bowel cancer by supporting #FootballShirtFriday ⚽&amp; @BobbyMooreFund ..… https://t.co/9qlifgnRw5,4,#FootballShirtFriday
"We've had a great #FootballShirtFriday supporting the @BobbyMooreFund &amp; @CR_UK!
Remember to donate £5 to the Bobby… https://t.co/rm8atQ2sBx",4,#FootballShirtFriday
Dusting off my prized 1992 Roma top for #footballshirtfriday ⚽️⚽️⚽️ Text SHIRT to 70200 to… https://t.co/zRJKmhN949,4,#FootballShirtFriday
I brought my @CelticFC shirt for #FootballShirtFriday to balance Ross' @RangersFC shirt. After we all donated to… https://t.co/P76HEQpS4G,4,#FootballShirtFriday
#FootballShirtFriday had me feeling comfy at work not gonna lie 👍🏼,4,#FootballShirtFriday
Thanks to everyone who took part in our #FootballShirtFriday - all for a great cause ⚽️👏 https://t.co/tk7tTmXaQf,4,#FootballShirtFriday
#FootballShirtFriday wearing a classic @CambridgeUtdFC shirt. #yellows. https://t.co/JichGup3op,4,#FootballShirtFriday
Tracking goals &amp; scoring goals on #FootballShirtFriday ⚽ 👕 📆 https://t.co/5Nmn1YiXzD,4,#FootballShirtFriday
"The #FootballShirtFriday effort at #FootballIndexHQ 👕 

Remember to Text BOBBY to 70200 📱 to donate £5 and help… https://t.co/ancopBsSe8",4,#FootballShirtFriday
"No better shirt than a John Obi Mikel Chelsea 2014/15 shirt. What a player. What a man. What a club.

All for a qua… https://t.co/h7RRx4aYKw",4,#FootballShirtFriday
